parentid,childid,date,sym,time,price,size
V004,V004_66,2020/12/14,600030.SHSE,10:58:38,28.84,100
V004,V004_67,2020/12/14,600030.SHSE,10:58:41,28.83,200
V004,V004_68,2020/12/14,600030.SHSE,10:59:05,28.84,600
V004,V004_69,2020/12/14,600030.SHSE,10:59:53,28.87,1300
V004,V004_70,2020/12/14,600030.SHSE,11:00:26,28.89,700
V004,V004_71,2020/12/14,600030.SHSE,11:01:26,28.84,1100
V004,V004_72,2020/12/14,600030.SHSE,11:01:44,28.84,100
V004,V004_73,2020/12/14,600030.SHSE,11:02:27,28.84,5800
V004,V004_74,2020/12/14,600030.SHSE,11:03:00,28.84,2000
V004,V004_75,2020/12/14,600030.SHSE,11:03:17,28.84,100
V004,V004_76,2020/12/14,600030.SHSE,11:03:27,28.84,4600
V004,V004_77,2020/12/14,600030.SHSE,11:04:45,28.86,3500
V004,V004_78,2020/12/14,600030.SHSE,11:05:50,28.86,900
V004,V004_79,2020/12/14,600030.SHSE,11:07:38,28.85,400
V004,V004_80,2020/12/14,600030.SHSE,11:08:23,28.84,1600
V004,V004_81,2020/12/14,600030.SHSE,11:09:17,28.83,600
V004,V004_82,2020/12/14,600030.SHSE,11:11:12,28.8,2400
V004,V004_83,2020/12/14,600030.SHSE,11:15:15,28.82,2200
V004,V004_84,2020/12/14,600030.SHSE,11:18:38,28.83,900
V004,V004_85,2020/12/14,600030.SHSE,11:18:53,28.84,600
V004,V004_86,2020/12/14,600030.SHSE,11:19:00,28.83,10200
V004,V004_87,2020/12/14,600030.SHSE,11:21:59,28.86,8300
V004,V004_88,2020/12/14,600030.SHSE,11:22:21,28.87,6000
V004,V004_89,2020/12/14,600030.SHSE,11:25:42,28.88,200
V004,V004_90,2020/12/14,600030.SHSE,11:25:53,28.88,100
V004,V004_91,2020/12/14,600030.SHSE,11:26:08,28.88,100
V004,V004_92,2020/12/14,600030.SHSE,11:26:35,28.86,1300
V004,V004_93,2020/12/14,600030.SHSE,11:28:03,28.88,1400
V004,V004_94,2020/12/14,600030.SHSE,11:29:18,28.88,1600
V004,V004_95,2020/12/14,600030.SHSE,13:02:09,28.83,2400
V004,V004_96,2020/12/14,600030.SHSE,13:03:48,28.83,1300
V004,V004_97,2020/12/14,600030.SHSE,13:04:24,28.82,2500
V004,V004_98,2020/12/14,600030.SHSE,13:05:23,28.83,13800
V004,V004_99,2020/12/14,600030.SHSE,13:05:57,28.84,1900
V004,V004_100,2020/12/14,600030.SHSE,13:07:04,28.82,2000
V004,V004_101,2020/12/14,600030.SHSE,13:07:24,28.83,1700
V004,V004_102,2020/12/14,600030.SHSE,13:08:42,28.82,5900
V004,V004_103,2020/12/14,600030.SHSE,13:10:30,28.81,3200
V004,V004_104,2020/12/14,600030.SHSE,13:11:30,28.77,7200
V004,V004_105,2020/12/14,600030.SHSE,13:11:39,28.77,14500
V004,V004_106,2020/12/14,600030.SHSE,13:13:03,28.78,16000
V004,V004_107,2020/12/14,600030.SHSE,13:14:03,28.79,1200
V004,V004_108,2020/12/14,600030.SHSE,13:21:18,28.8,1200
V004,V004_109,2020/12/14,600030.SHSE,13:23:24,28.83,6100
V004,V004_110,2020/12/14,600030.SHSE,13:24:26,28.81,3200
V004,V004_111,2020/12/14,600030.SHSE,13:24:30,28.8,600
V004,V004_112,2020/12/14,600030.SHSE,13:24:51,28.82,500
V004,V004_113,2020/12/14,600030.SHSE,13:26:42,28.81,900
V004,V004_114,2020/12/14,600030.SHSE,13:27:42,28.81,1500
V004,V004_115,2020/12/14,600030.SHSE,13:29:33,28.8,800
V004,V004_116,2020/12/14,600030.SHSE,13:29:48,28.79,1100
V004,V004_117,2020/12/14,600030.SHSE,13:32:38,28.82,300
V004,V004_118,2020/12/14,600030.SHSE,13:32:51,28.82,2700
V004,V004_119,2020/12/14,600030.SHSE,13:33:13,28.82,18700
V004,V004_120,2020/12/14,600030.SHSE,13:34:41,28.83,1500
V004,V004_121,2020/12/14,600030.SHSE,13:36:12,28.8,1800
V004,V004_122,2020/12/14,600030.SHSE,13:38:09,28.8,1800
V004,V004_123,2020/12/14,600030.SHSE,13:39:30,28.82,1100
V004,V004_124,2020/12/14,600030.SHSE,13:41:30,28.81,19100
V004,V004_125,2020/12/14,600030.SHSE,13:43:54,28.79,4800
V004,V004_126,2020/12/14,600030.SHSE,13:45:21,28.78,1900
V004,V004_127,2020/12/14,600030.SHSE,13:46:24,28.77,7100
V004,V004_128,2020/12/14,600030.SHSE,13:46:33,28.8,1100
V004,V004_129,2020/12/14,600030.SHSE,13:48:06,28.78,1700
V004,V004_130,2020/12/14,600030.SHSE,13:48:09,28.77,30700
