candle_begin_time,open,high,low,close,volume
2018-10-29 08:00:00,204.99,205.49,195.28,196.96,118281.82272
2018-10-30 08:00:00,196.95,198.6,195.91,197.27,83633.81463
2018-10-31 08:00:00,197.24,201.45,193.01,198.73,114739.70424
2018-11-01 08:00:00,198.7,200.95,197.88,199.96,86097.98629
2018-11-02 08:00:00,199.93,203.74,199.34,202.35,97123.22813
2018-11-03 08:00:00,202.31,202.69,198.59,200.31,72084.92932
2018-11-04 08:00:00,200.27,218.76,199.0,212.11,182534.6216
2018-11-05 08:00:00,212.13,213.39,207.62,210.66,141432.1406
2018-11-06 08:00:00,210.64,221.25,209.11,220.74,197797.49527
2018-11-07 08:00:00,220.77,224.8,217.01,219.07,204931.0342
2018-11-08 08:00:00,219.06,220.78,212.49,212.79,189828.4945
2018-11-09 08:00:00,212.79,215.51,209.1,210.77,152215.94686
2018-11-10 08:00:00,210.78,215.55,209.02,213.25,131384.47893
2018-11-11 08:00:00,213.27,213.99,209.0,212.54,136268.81156
2018-11-12 08:00:00,212.6,214.22,210.9,212.89,99963.97203
2018-11-13 08:00:00,212.91,213.8,209.2,209.84,114466.36708
2018-11-14 08:00:00,209.84,210.3,176.16,187.43,434676.16832
2018-11-15 08:00:00,187.43,190.0,170.99,184.35,452416.10784
2018-11-16 08:00:00,184.35,185.0,173.0,176.89,241710.34763
2018-11-17 08:00:00,176.93,177.91,173.94,176.2,144804.70986
2018-11-18 08:00:00,176.2,182.94,176.1,178.97,141736.32263
2018-11-19 08:00:00,179.04,179.33,146.47,150.81,596789.83916
2018-11-20 08:00:00,150.76,154.7,126.95,133.82,996552.28721
2018-11-21 08:00:00,133.68,142.01,127.15,138.23,718957.78552
2018-11-22 08:00:00,138.36,140.4,125.64,126.63,334674.07185
2018-11-23 08:00:00,126.58,128.9,118.56,125.02,504352.24386
2018-11-24 08:00:00,125.0,130.81,112.32,114.89,471321.56764
2018-11-25 08:00:00,114.83,122.35,102.95,118.67,836233.31252
2018-11-26 08:00:00,118.65,121.5,106.41,110.68,679477.36231
2018-11-27 08:00:00,110.66,114.31,102.36,111.43,524024.40616
2018-11-28 08:00:00,111.38,126.8,111.37,122.9,578552.74124
2018-11-29 08:00:00,122.88,124.0,114.78,117.98,478777.39614
2018-11-30 08:00:00,117.99,120.26,111.09,113.73,418593.63529
2018-12-01 08:00:00,113.71,120.8,111.35,118.1,330159.06742
2018-12-02 08:00:00,118.09,120.73,116.0,116.57,273657.6215
2018-12-03 08:00:00,116.63,116.96,106.7,108.76,324446.03324
2018-12-04 08:00:00,108.76,113.2,106.0,109.94,275321.0063
2018-12-05 08:00:00,109.92,110.58,102.38,102.71,354071.53241
2018-12-06 08:00:00,102.73,104.68,90.2,91.0,586138.59043
2018-12-07 08:00:00,91.18,96.9,82.07,93.05,1030073.58467
2018-12-08 08:00:00,93.06,98.0,84.55,90.38,698217.12529
2018-12-09 08:00:00,90.39,98.7,88.63,93.26,520519.36023
2018-12-10 08:00:00,93.26,95.21,88.11,89.91,408573.02929
2018-12-11 08:00:00,89.88,91.65,85.83,87.76,339991.84246
2018-12-12 08:00:00,87.77,91.31,86.63,89.41,285436.04029
2018-12-13 08:00:00,89.39,90.71,84.71,86.34,331218.30083
2018-12-14 08:00:00,86.35,87.25,82.2,83.82,318003.73427
2018-12-15 08:00:00,83.82,85.0,81.79,83.76,217360.65775
2018-12-16 08:00:00,83.75,87.64,83.73,84.67,241366.76305
2018-12-17 08:00:00,84.68,97.0,84.4,94.02,472252.23388
2018-12-18 08:00:00,94.03,101.3,91.34,100.39,529946.79175
2018-12-19 08:00:00,100.39,107.55,97.75,98.74,827748.59096
2018-12-20 08:00:00,98.73,116.0,97.88,114.05,859612.57205
2018-12-21 08:00:00,113.71,118.0,104.76,107.69,666048.71786
2018-12-22 08:00:00,107.67,115.5,105.38,115.2,405672.83117
2018-12-23 08:00:00,115.18,131.94,114.91,129.03,936094.1049
2018-12-24 08:00:00,129.03,157.67,128.8,138.03,1319609.8165
2018-12-25 08:00:00,138.01,139.26,119.68,127.6,1076164.12809
2018-12-26 08:00:00,127.61,135.32,122.51,129.35,794834.05601
2018-12-27 08:00:00,129.35,131.09,111.22,113.8,752177.90111
2018-12-28 08:00:00,113.75,136.66,111.87,135.3,894454.19051
2018-12-29 08:00:00,135.3,145.42,128.5,132.89,1006654.49844
2018-12-30 08:00:00,133.0,139.0,127.03,137.77,704259.41614
2018-12-31 08:00:00,137.81,138.66,128.7,131.45,484604.83962
2019-01-01 08:00:00,131.45,140.67,130.0,139.1,401776.88797
2019-01-02 08:00:00,139.1,155.37,137.76,152.01,941486.31524
2019-01-03 08:00:00,152.01,153.64,143.11,146.3,708091.31714
2019-01-04 08:00:00,146.3,154.8,143.54,151.97,805248.93821
2019-01-05 08:00:00,152.08,159.26,151.2,152.83,773169.13736
2019-01-06 08:00:00,152.83,157.4,147.51,153.86,627908.47366
2019-01-07 08:00:00,153.89,155.48,147.86,149.34,424765.30258
2019-01-08 08:00:00,149.29,151.65,145.2,147.6,441661.06778
2019-01-09 08:00:00,147.62,151.5,146.77,148.1,299443.563
2019-01-10 08:00:00,148.11,149.45,121.0,124.95,871751.75038
2019-01-11 08:00:00,124.96,127.36,120.08,124.65,545293.98369
2019-01-12 08:00:00,124.67,126.19,122.0,123.35,300262.13404
2019-01-13 08:00:00,123.35,124.25,111.87,114.16,422561.96777
2019-01-14 08:00:00,114.17,130.05,113.94,126.95,546420.40854
2019-01-15 08:00:00,126.95,129.4,116.0,118.95,649020.5297
2019-01-16 08:00:00,118.93,126.88,118.52,121.48,513486.65472
2019-01-17 08:00:00,121.49,122.99,116.8,121.54,447535.22716
2019-01-18 08:00:00,121.56,121.98,117.66,119.17,235646.684
2019-01-19 08:00:00,119.16,125.29,119.14,122.6,323303.79296
2019-01-20 08:00:00,122.61,123.32,115.68,117.47,451792.85352
2019-01-21 08:00:00,117.56,118.5,113.61,115.63,303632.93463
2019-01-22 08:00:00,115.62,119.49,111.39,117.81,359542.63873
2019-01-23 08:00:00,117.8,118.95,114.8,116.44,230247.61578
2019-01-24 08:00:00,116.4,117.15,113.61,116.39,216242.29829
2019-01-25 08:00:00,116.4,117.5,114.3,115.11,198617.08108
2019-01-26 08:00:00,115.13,118.0,115.0,115.34,146216.82819
2019-01-27 08:00:00,115.32,116.15,111.04,112.05,247369.60555
2019-01-28 08:00:00,112.04,112.87,100.91,105.5,566205.78288
2019-01-29 08:00:00,105.49,106.61,102.22,104.45,319768.91348
2019-01-30 08:00:00,104.41,109.8,103.45,108.29,330968.19265
2019-01-31 08:00:00,108.29,110.61,105.46,106.44,290679.61935
2019-02-01 08:00:00,106.47,108.35,103.77,106.73,243149.88435
2019-02-02 08:00:00,106.71,111.15,106.07,110.42,186908.7573
2019-02-03 08:00:00,110.41,111.11,105.82,107.36,227211.54064
2019-02-04 08:00:00,107.33,109.3,106.57,107.68,160850.10293
2019-02-05 08:00:00,107.65,108.18,106.47,107.27,159730.1886
2019-02-06 08:00:00,107.28,107.83,101.21,104.5,337204.30254
2019-02-07 08:00:00,104.49,106.18,103.82,104.48,147942.07683
2019-02-08 08:00:00,104.48,123.0,103.41,119.25,589950.64925
2019-02-09 08:00:00,119.32,121.99,117.64,119.19,328067.9574
2019-02-10 08:00:00,119.19,126.49,115.81,125.12,385819.09619
2019-02-11 08:00:00,125.12,125.28,119.24,120.89,389405.30404
2019-02-12 08:00:00,120.88,123.89,118.18,122.41,343765.66987
2019-02-13 08:00:00,122.4,126.47,120.7,121.86,317827.31956
2019-02-14 08:00:00,121.86,124.5,120.1,120.42,297205.78738
2019-02-15 08:00:00,120.47,124.25,120.19,121.67,255296.0814
2019-02-16 08:00:00,121.66,124.99,121.54,122.67,215320.70134
2019-02-17 08:00:00,122.67,135.61,122.43,133.75,614788.60078
2019-02-18 08:00:00,133.77,148.3,132.42,145.69,1079830.1502
2019-02-19 08:00:00,145.69,150.0,142.36,143.44,747968.90445
2019-02-20 08:00:00,143.45,149.52,139.6,148.44,614303.61007
2019-02-21 08:00:00,148.42,149.61,142.7,145.69,447364.40873
2019-02-22 08:00:00,145.68,148.85,143.85,147.36,366251.18542
2019-02-23 08:00:00,147.4,159.6,145.78,157.79,588183.72896
2019-02-24 08:00:00,157.75,166.0,131.7,132.1,1260506.80672
2019-02-25 08:00:00,132.1,141.55,131.89,137.87,801147.09543
2019-02-26 08:00:00,137.88,138.41,133.72,136.22,432944.17033
